Organic Nation


Phil Wohl


Smashwords Edition
Copyright 2009 Phil Wohl

This eBook is licensed for your personal enjoyment only. This eBook may not be re-sold or given away to other people. If you would like to share this book with another person, please purchase an additional copy for each recipient. If you’re reading this book and did not purchase it, or it was not purchased for your use only, then please return to Smashwords.com and purchase your own copy. Thank you for respecting the hard work of this author.



ON

	“Please empty your pockets,” the prison guard said with all of the emotion of an extension cord.
Brad’s rebirth of sorts had taken shape amidst some of his darkest hours.  The great thing about the dark is that it either thrusts you into your grave or makes your life-smart.  This thing about adversity making you stronger is about as valid as an expired driver’s license.  Brad knew that this time around he had to get it right… he had to live cleaner and stop trying to take the express train on the local track.
Sitting in his restaurant eating lunch with Guy reminded Brad of how precious basic freedom could be.  In his previous life, he would barely crack a smile while eating lunch, preferring to plot his next series of moves instead of enjoying the company and his plated meal.  Life had become an ongoing chess match where a check mate would only clear the board for the next game, the next series of moves designed to empower the king.
“I really love this place,” Brad said to Guy.
Guy kept eating, waiting for the “but” behind the compliment.
“Did you hear me?”
Guy replied, “I was just waiting for the but.”
Brad smiled, “No more buts, my friend.  The only point of contention I have with you is over this law firm.”
Guy put his hands, palms up, “I can see you’re not going to let this go.  There weren’t a lot of firms lining up around the block to represent a convicted felon.  This was a new firm that came highly recommended.  Actually, they were the only law firm to take the bait.”
Brad finally took his friend’s words at face value and decided to schedule another meeting with Stacey Berger.  He had been so blinded by past feelings of a trial gone ugly that it was difficult to think in the present tense.  Berger used her rising status in Organic Nation to uncover the web of lies behind the scenes at Wall Street’s little darling.
A few more days on the outside combined with a working knowledge of what he was walking in to, made Brad much more focused this time around.  The familiar receptionist at the Torres, Berger, Thomas & Fukiyama front desk appeared busy but was actually scribbling her way through the Monday New York Times crossword puzzle.  There were days when she could stretch her natural abilities to attempt the Wednesday puzzle, but once the weekend was in sight she resorted to other time-wasting means to pass get through the day.
“Good morning, Mr. Greenberg,” the receptionist, named Kelly, said in a tone she usually saved for dignitaries, heads of state, and construction guys.
Brad half-smile and replied, “Morning” as Kelly picked up her phone.  “Mr. Greenberg is here for his appointment.”
“She’ll be right up,” Kelly said as Brad nodded in understanding.
Within seconds, Stacey Berger energetically advanced to the front of the office and was extended her right hand in friendly gesture.  This festive mood, however, lasted all of 15 seconds before Brad’s ass even hit the chair in Stacey's office.
“Why did you turn on me?”  Brad said, stringing the first piece of his dirty laundry on the line.
Tracey closed the door to her spacious office and took a seat on the dark brown, Pottery Barn standard issue, leather couch instead of being confrontational and assuming a power position behind her desk.
“First of all, I didn’t turn on you.  Quite the contrary, you turned on me?”
Brad went from anger to confusion in the time it usually took to order a latte at Starbucks.  “What?  I turned on you?”  He then turned his chair around to face Stacey on the couch.
Stacey barely flinched before saying, “Michelle Larocca.” 
Brad was somewhere between confusion and unconsciousness when he replied,” Michelle Larocca?”  What does she have to do with your insubordination?”
“Insubordination?  You dumb ass!  I worked for the government!  Even with that fact in tow, I wasn’t sure if I would submit all of my evidence until Michelle Larocca strutted her half-naked ass around the office like she was participating in a Hawaiian Tropic Pageant!”
Brad couldn’t believe his ears.  “What are you talking about?  She was appropriately dressed.”
Stacey countered, “She was appropriately dressed if she worked the corner of 38th and 9th Avenue.  There’s nothing corporate about a beaver shot in the middle of a staff meeting!”
“Ok, so her skirts were a little short.  Our dress code was extremely casual,” Brad stated.
“But it wasn’t clothing-optional,” Stacey kept swinging.
Brad wasn’t sure where he should go from there.  “You are infuriating!”
She rolled her eyes, “At least I didn’t sleep with Michelle “The Ho” Larocca!”
Brad had a look on his face that he was being accused of fraud, again.  “I didn’t sleep with Michelle Larocca.”
Stacey waved him off and turned her head away in disgust.
“What would make you think that I slept with Michelle Larocca?” Brad asked.
With that, Stacey stood up and then recanted the following chain of tightly-connected events that led her to believe that Brad had boinked Michelle Larocca.  The initial side of the story is told through her eyes.
Stacey was leading a dual life and her world was one big ball of bountiful stress.  By day, she assumed her role as Organic Nation’s shameless promoter, utilizing all of her positive feelings for the company to let the world know they should join the nation.  By night, Stacey fought crime and shared her findings with the various members of the U.S. government.
It was the end of a glorious late spring day and many of the Organic Nation employees were finishing the last of their work and heading toward the bustling street below at Columbus Circle.  You could tell the weather was getting warmer because the hem on Michelle Larocca’s skirts was inching up toward her belly button.  Stacey Berger was usually one of the last employees to leave the building, and this Thursday night was no exception.
Organic Nation headquarters was a completely open and airy structure encased by all windows, thus providing an unimpeded view for employees to their inside and outside worlds.  All associates had an incredible view of Central Park and all of its grandeur, and Brad Green and all of his glory.
Stacey picked up her head almost every time someone approached Brad’s office.  Not only was she assigned to shadow the king of all healthy, she was also becoming quite protective over the man, the myth, and the legend.  Michelle Larocca was strutting down the hallway toward Brad’s office like she had some additional rump-shaking in mind.  Some twenty minutes after she entered the office, Michelle emerged with Brad basically draped over her.  His arm was around the infamous streetwalker as they headed toward the elevator.
The elevator doors closed and Stacey quickly gathered her things and shoved them in her inconspicuous-looking leather briefcase.  The briefcase was so white, middle-America-looking that it reeked of “Hey, I’m working for the government but I’m trying to look normal.”  Under normal circumstances, Stacey would be prone to snooping around when Brad left the building.  She had planted a GPS tracking device in his wallet and a few other places, ensuring that she would always be current with his whereabouts.
She quickly downloaded and backed up all of Brad’s daily files with her wireless capture device, and then hustled out of the building.  It was rush hour, so open cabs were about as scarce as modesty in the thick Manhattan streets.  Stacey glanced one last time at her GPS tracking system, and the device seemed to be pointing her a few long blocks down the street to 5th Avenue.  She took a deep breath, relieved to have avoided the Metropolitan Transit Authority system, and then started walking east.
As Stacey’s sensible shoes guided her toward The Plaza Hotel on 5th Avenue, visions of Michelle contorting her body on a hotel bed into gymnastic-like positions overwhelmed her.  Then her red phone rang:
“Berger,” she said as she answered the government-issued cell phone.
“What are you doing near The Plaza?  Hot date tonight?” a male voice jabbed at her.
The tracking never seemed to end... Stacey’s cell phone was a tracking device in itself and she was never off the clock, even when she turned off the phone.
“Yeah that’s great, Jenkins.  I’m tracking Green right now.  Gotta’ go.  I’m transferring today’s files right now.”
She pushed a button on her phone and all of Brad’s files were transferred to the home base.  It was a routine she had completed for the past two months without fail.  The process involved an index finger and a thumb, but her gut was the area of her body that experienced the most sensation on this day.  Stacey sensed that her assignment was coming to an end.  Any feelings she had for Brad were melting quickly like an ice cube on an oppressive subway platform in the middle of summer.
Stacey followed the GPS signal until she stopped in front of The Plaza Hotel.  She sat on a bench facing the hotel for a good hour and 40 minutes until Brad and Michelle emerged from the front door.  Michelle, still wearing a short skirt and four-inch pumps, stopped and gave Brad a hug and then smiled and was on her way.  Brad, looking like he had just found a winning lottery ticket, smiled and then was on his way back toward the office.  Stacey’s first instinct was to follow him but she had quite enough of the cat and mouse game.  She waited a few hours for Brad to leave the office and then went back to clear her stuff out and gather all of the evidence she would need to bury Green.  
“Jenkins.  I need an escort back home.  We’re done here,” Stacey said as she put the last of the incriminating files in a box.  The bureau had a few doubts about Stacey Berger’s ability to close the deal, but was impressed with the depth and range of the information she gathered.  Once the government prosecuted the case successfully, with Stacey being the lead prosecutor, a big promotion was in the offing.  Stacey accepted the raise and new title but managed to deflect most of the praise.  She was not in the mood to celebrate.
A few years after riding the wave of the big victory against Organic Nation, Stacey Berger walked into work one day and walked right out shortly thereafter.  The harshness of the job had taken its toll on her, because she was no snitch.  Getting close to Brad Green and then slamming the door in his face had many ramifications, even if he slept with Michelle Larocca that afternoon.  Writing a best-selling book about her experiences, called Bringing down the Nation, was a lot harder than handing in her resignation that morning.  She toiled while writing the book for a good six months after she left the bureau, and it took her almost a year from first word to last draft.  Once the book became available, the royalty money kept rolling in prompting Stacey to open her own law firm.
Of course, Brad’s side of the story was quite different than the Harlequin, smut novel that Stacey presented.
It was a pretty typical day at Organic Nation until Michelle Larocca tapped on Brad’s glass door.
“Do you have a minute?” Michelle asked.
Brad was knee deep in number's manipulation, but he looked up and replied, “Yes, come in Michelle.”
She moved closer to his desk and took a seat in a chair at the other end of his desk.  “What can I do for you?” Brad asked.
“I have some good news and some bad news,” the sensitively-dressed Michele said.
Brad smiled, “Why don’t we start with the good news.  I could use some of that.”
Michelle hesitated and then stated, “My dad wants to meet with you to form an alliance.”
The cylinders of Brad’s brain tumbled until he found some clarity “Is your father Vincent Larocca of MacroLarge?”
“Yes.  He wants to put an Organic Nation location in their corporate headquarters and their other satellite offices around the world.”
“That sounds great! How can I get in touch with him?” Brad asked.
“He’ll be at The Plaza Hotel this afternoon.  He’ll be expecting us at 5:30.”
Brad nodded, “Okay, so what’s the bad news?”
Michelle hesitated again and then Niagara Falls opened up in the in the middle of Columbus Circle.  If that much water had consumed the Nina, Pinta, and Santa Maria, then Columbus surely would been sunk in his attempt to discover a “new” world that already had natives in tow.
Brad got up from his chair and moved to the other side of the desk, partially to comfort Michelle but mostly to take in the skin-dominated visual.
“What wrong, Michelle?”
She stopped crying long enough to spout, “I haven’t seen my father in 20 years.  He left us when I was five and never looked back.”
Brad was thinking more about the millions of dollars he could make off a MacroLarge relationship then he was about a little girl that barely wore any clothes so people would notice her.  The veritable peep show was just an added bonus to the day’s events.  Michelle and Brad left the building just after five and began strolling east to The Plaza.
It was a nice day to be a New Yorker.  The sun was ducking in and out of a few wispy clouds and the breeze was mellow enough to calm the mind and refresh the spirit after a long day indoors.  Brad’s almost daily ritual of walking in and around Central Park did wonders for his focus and confidence.  Being in the world’s greatest city and captaining a beloved company didn’t hurt the confidence much, either.
The Plaza had been refurbished and much of its regal, yet somewhat gaudy glory had been restored.  
“Are you nervous?” a generally disinterested Brad asked to fill the space between Organic Nation and The Plaza steps.
Michelle’s emotions were all over the place and resembled the very makeup of when her internal clock shut down.  “I feel like a five year-old all over again.”
Brad’s first thought was, “Well, you don’t look like a five year-old,” but he said “Just be yourself and everything will be all right.”
Not that he had a firm grasp on what the “true” Michelle Larocca was really like, anyway?  It was just one of those things that people say to each other when confronted with dead air.  The equivalent would have been, “We should do lunch,” or “Send me your resume.”
Once inside The Plaza, Brad and Michelle headed to meet Vincent Larocca in his room in the penthouse.  The word “room” was a little liberal for a suite you could land a jumbo jet in.  The security that came with staying on top of the city meant that guests had to be screened before they came up.  
“Mr. Larocca, your daughter is here to see you,” the concierge said into the phone.
Larocca replied, “Send her up.  Please tell Mr. Green to give us a few minutes and then I’ll call for him.”
Brad wished Michelle good luck and then she disappeared around the corner headed to the elevator bank.  The ride up to the penthouse felt like it took longer than being parked in rush-hour traffic.  Vincent Larocca was rarely fazed by meetings but this one was causing him to pace back and forth.  How do you great someone you haven’t seen in 20 years?  When it’s you daughter, he surmised, you do it with open arms.
The rest of the long-awaited meeting was the stuff that Hallmark cards are based on.  Once the penthouse door was closed behind Michelle, Vincent dropped to his knees and sobbed.  “You’re so beautiful,” he uttered between crying fits.  “How did I ever walk away from you?”
The layers of anxiety from growing up without a father slowly peeled away for Michelle.  Although she continued to wear short skirts, she ascended to the designer level once she joined MacroLarge after her stint with Organic Nation ended with the scandal.  In hindsight, being without a father for the formative years wasn’t as painful as the joy she experienced being reconnected with her dad for the next 20 years.  The event not only moved her up the caste system of life, she also married another billionaire and had a beautiful, stress-free life from the moment she stepped into The Plaza penthouse.  As for Brad, his association with Vincent Larocca lasted all of a week.  The conversations obviously stopped once charges were brought against Green and Organic Nation, proving that timing is indeed everything.
Back in the law office, Brad and Stacey continued to jaw at each other about their varying accounts of the Michelle Larocca fiasco.
“You’re such a liar!  Are you saying that you didn’t sleep with her?” Stacey probed.
Brad rolled his eyes in disgust, “Let me ask you a question.  Did you ever walk into The Plaza that day?”
Stacey backed up for a minute and then responded, “No.  I waited outside on a bench until you two came out.”
Brad reached into his pocket and pulled out his cell phone.  He then scanned through a few numbers and put the phone up to his ear.  “Michelle!  How are you today?  I am fine.  Yes, the restaurant is going to open in a few days.  I’m looking forward to seeing you, too.  Can you do me a favor?  I have Stacey Berger sitting here with me and she wants to know what happened that day you reconnected with your father at The Plaza. Okay, thanks.”
Brad removed the phone from his ear and extended his left arm to hand the phone over to Stacey.  She motioned “No” but the curiosity of the situation made her reach for the phone and put it up to her ear.  Michelle recounted a similar version to Brad’s story for about five minutes and then Stacey said, “Thank you” and hung up.
The light finally went on in Brad’s head, “You took an unannounced vacation after that day.  Is that the reason why you prosecuted me?”
“No, Einstein.  That’s the reason I sent your ass to jail and took most of your money.”
“You wanna’ get some coffee and talk about this?” Brad asked.
“I can’t do it right now.  Call me later.  I have to digest this for a while” she replied.
  He shook her hand and left the office, saying “Thanks” to the receptionist on the way out.  A few minutes later, Stacey poked her head out of the office and nodded toward Kelly the receptionist, who quickly sprinted from her desk to Stacey’s office.
“So, what happened?” Kelly asked with the knowledge that there were feelings between Stacey and Brad.
“He didn’t sleep with her,” Stacey stated and then sat back in her chair.
Kelly nodded, knowing that the new information must have stretched Stacey’s insides in about 20 different directions.  The rainbow of emotions she was feeling obviously needed time to untangle, so Stacey said, “Aruba.”
Kelly nodded again, “Aruba.”

TRANSITION, TRANSLATION

With no sign of Stacey for days, Brad turned his attention to his roommates and his restaurant.  The opening of The Exchange was only days away and there were a few finishing touches left to make.  Sal was busy experimenting with new recipes and Charles was checking with the printer to make sure the restaurant’s menus would be ready in time.
“You gonna’ be all right?” a concerned Charles said to Sal, who looked downright queasy.
Sal, wearing his chef’s outfit with the name Chef Sal under The Exchange, looked more like a sick patron than a future award-winning chef.  “Yeah, I’ll be okay.”
“It’s a lot better than being in The Ed isn’t it,” Charles said trying to cheer his friend up.
Sal quickly shook off the cob webs and replied, “Still trying to adjust to the change.  How long do you think we can all live together?”
Charles smirked, “About two months after we open.”
Just then, a slightly jumpy Brad walked in and said, “Two months for what?”
“’Till we’re making a profit,” Charles quickly responded before Sal go into it.
“More like three or four months, depending on the gate.”
The locations of the first Exchange restaurant was bandied about for months while the guys were still in jail.  The initial discussion was focused on Broadway just off Wall Street, but that was quickly squashed by Charles “It’s like a ghost town on the weekend.”
Brad was the real business mind out of the three and theorized, “What we need is an all-hours link to The Street.  If we put these restaurants in the suburbs we can solicit women as well as men.”
“What do you mean?” Sal asked.
“Yeah, I’m not following you either” Charles added.
“More and more financial businesses are moving out of the city and into the suburbs.”  Brad looks at both guys for conformation, “You following me so far?”
Sal and Charles nodded their heads, verifying they were among the living.
“I see much more than the good old boys club on Wall Street.  It’s all about getting the populous involved.  When I started Organic Nation the majority of the country was more interested in eating unhealthy and eating it fast.  So, we convinced a few more people to eat a little healthier while still eating fast.  We have to think good, healthy food with The Exchange but first and foremost, we must promote a spirit of involvement from the entire community, not just the wealthiest tier.”  Brad looked at Charles and at once, Charles realized what Brad was reaching for.
“Investment clubs,” Charles proudly stated.
Brad nodded in approval, “Investment clubs.  I’m talking about clubs with women, clubs with senior citizens, teenage clubs, couples clubs, singles clubs, religious clubs, organization clubs, corporate clubs, political clubs, college and alumni clubs, leisure activity and sports clubs, all sitting around here drinking and eating and talking about their portfolios.  We could have stock picking contests for meals and other prizes going on all the time.  Just think of the possibilities, gentlemen!
“That man could sell snow tires to a surfer,” Charles said.
“He had me at clubs” Sal added.
Brad continued, “Our restaurant traffic will be static during the day.  We should probably be open for breakfast, too.  We’d have different people coming through here all day.  Older people and caregivers in the morning, corporate types and other professionals around lunchtime, teenagers, 20- and 30-somethings early afternoon, and a general free-for-all from dinner time until we close at 10 0’clock or so.”
Sal looked at Charles and then asked, “That lawyer ever call you back?”
Charles knew Sal was the right man for the head chef’s job but couldn’t believe his lack of timing out of the kitchen.
Brad answered “It’s okay, Charles.  Sal means well.  No, I haven’t heard back from Stacey this week.  Word is that she went to Aruba with her receptionist.”
Sal was on a roll, “You think she’s a lesbian?”
Brad shot Charles a “Can you believe this fuckin’ guy” look before he stated the obvious.  “No, I don’t think she’s a lesbian.”
Sal wouldn’t give up that easy, “How do you know?”
“Because I know!” Brad raised his voice.
Sal backed off a little, “How?”
Brad was trying to keep the genie in the bottle but it couldn’t be contained any longer, “Because I kissed her!”
Both Sal and Charles look astonished, leading the three men to leave the kitchen and sit at the restaurant’s bar for a few minutes.  Brad went behind the bar and poured three beers from the tap while the other guys took seats in the peanut gallery for a little story time.
Brad recounted a tale of working late one night and stretching his legs at about 6:45 p.m. and walking around his floor.  He always used his private bathroom, but decided to use the general employees’ bathroom because nature was calling quickly on this occasion.  A few minutes later, he emerged from the bathroom and turned left toward his office.  A split-second later, Stacey hurried out of the ladies bathroom and tuned right.  It was one of those “Your chocolate fell in my peanut butter/Your peanut butter fell on my chocolate” moments.  Brad and Stacey slammed together and they both fell to the floor.  He helped her back to her feet and then reached over and picked a piece of lint from her hair.  They both were taken by the tender moment and quickly met in a passionate kiss.  The seven-second, lip access only, knee-knocking session broke off when Brad’s phone rang.  He took the call and she walked away down the hall back to her desk.
By the time Brad got off the call and scurried back toward Stacey’s desk, she was gone for the day.  “I could never find the right moment after that to try it again,” Brad said and then took a big swig of beer.
“Wow,” Sal said.
“You still have feelings for her?” Charles asked.
“No, I want to rip her head off when I’m with her!” Brad said emphatically.
Sal turned to Charles and whispered, “We better start looking for that place to live.”
“I’ll set some things up,” Charles replied.

A few days later, the restaurant opened to a full house and rave reviews.  Brad was still concerned that most of these people came in for the event, not for the long haul.  People weren’t using the equipment to check stocks and chatter about their investments.  This was a clear sign that nobody “got” the concept yet.
 “We have to get the word out,” Brad said to Charles as they tallied up the receipts.
“The people we had in here tonight didn’t get it,” Charles concurred.
Brad picked his head up and stated, “We have to tell them what to get.  Something like, ‘Groups can join for as little as $100’.”
“Once people get in the action they won’t want to get out,” Charles said.
“We have all the investment tracking software in place.  All we need is the people.  We should send e-mails and flyers to places offering free food with every investment club entry.”
“I’ll get on that first thing,” Charles energetically stated.
The front door had been locked for over an hour and the only door that still swung both ways was the back door.  Sal was busy cleaning the kitchen and preparing food for the next day when he heard a faint knock on the back door.  All the kitchen help had gone home for the night, so Sal put down a potato and wiped his hands off on a towel before opening the back door.
“Who is it?” Sal asked.
“It’s Stacey Berger.”  
The name was greeted by silence so Stacey said, “I’m Brad’s lawyer.”
Sal was so deep in food thought that he spaced out for a minute before realizing who the person was.  He opened the door and said, “I’m sorry.  It’s been a long day.”
He extended his hand and said, “I’m Sal, the head chef.”
She looked at his chef’s garb and then looked in his eyes in true New Yorker fashion, to say “No shit!  I can see that by the name on your shirt.”
“Is Brad still here?” a tanned Tracey asked.
Sal smiled, “Yeah, he should be out front with Charlie.”
Charlie and Brad were still sitting at a table until Charlie got up and saw Stacey coming toward them.  He wanted to alert Brad but it was too late.  She had entered a physical range where normal conversations were in earshot and whispers would hold a negative connotation.
“I’m going to see what Sal’s doing,” an awkward Charles said before nodding at Stacey and then scurrying into the back.  Being a former famous television personality, it was his job to know just about everything about everybody on Wall Street.  Stacey Berger was the pilot that dropped the atomic bomb on Wall Street.
“She’s a lot better looking in person,” Sal said to Charles as he entered the kitchen.
“A lot taller, too.  You ready to start looking for a place tomorrow morning?”
Sal nodded, “Yeah, but not too early.  Okay?”
Charles replied, “Okay.”
Back on the main floor, Stacey approached Brad who picked up his head and felt a surge of energy shoot through his body after a long, hard day.  Her tanned face instantly had Brad wondering what the rest of her body looked like.  The open buttons on her professional-looking indigo blue shirt gave a preview of how little clothing she wore on the beach of Aruba. Stacey had aged well despite all of the stress she had endured.  Avoiding such vices as smoking and alcohol helped preserve the 40-something’s face and body.  Of course, Stacey would say it was all of those spinning classes and personal training sessions that keep her body in shape.
Stacey sat down across the table of four from Brad, who was waiting for her to kick off the conversation.
“I was divorced when I was in my 20s,” she said trying to create a more honest, deeper conversation.
Brad wasn’t sure if he should attack or put his guard down, “Looks like you had a nice little vacation.  I’ve been trying to get in touch with you.”
“Yeah, I heard the eight messages you left,” she replied.  “Kelly and I went to Aruba.”
“Found a little clarity on the beach, did you?”
“Yeah, watching Kelly shake her ass in front of any dick with a pulse, led me to a simple conclusion,” Stacey stated.
“What was that?” Brad inquired.
Stacey had finally broken down.  She put her head down as the tears started rolling down her cheeks.  She grabbed a napkin from the table and then picked her head up, “I have to stop running.”
Running had become a natural habit for Brad in the last year of Organic Nation.  He was, in fact, the marathoner of corporate America, staying just ahead of the Fed’s and the press.  Brad was appearing on television up to a week before he was arrested by the Fed’s.
“We will be proved innocent of these heinous rumors.  There is no foundation for all of this doubt about both our accounting standards and corporate ethical responsibility,” was just a few lies that Brad was more than willing to perpetrate in order to save his own hide.
Brad refused to acknowledge that his company had fallen through the thin ice, had sunk to the bottom of the ocean, and was already as dead as a doornail.  It was months since Stacey left the company abruptly, giving her two weeks’ notice and then using the remainder of her unused vacation time so she wouldn’t have to step foot in the office again.  Brad was confused that one of his best workers left so aggressively, but he had bigger farmed-raised fish to bake at the time.
It wasn’t until his last day at Organic Nation that the depth of the betrayal was revealed to Brad.  It was a relatively quiet Thursday afternoon and many of the employees had already cleared out for the day.  Stacey had studied the hourly patterns of her co-workers and was attempting to be somewhat sympathetic by not turning the confrontation into a circus.  Her presence was purely professional, or so she convinced herself at the time.
Brad instinctively picked up his head at the sound of noise in the hallway.  His first emotion was quite positive at seeing Stacey walking by herself toward him.  It was a good thing to see such an ally again, he thought.  Nobody seemed to have his back anymore unless they were paid to represent him.  Brad stood up to greet Stacey and then he saw a litany of men and women wearing dark blue jackets with the initials FBI across the left breast and back.  His first instinct was to run but there was nowhere to go but straight ahead.  That secret passageway he thought of putting in certainly would have come in handy that day.
The small troop of government employees bearing down effectively brought an end to Brad’s days of running.  Brad stood in front of his desk almost motionless as Stacey Berger walked toward him.  Without hesitation or rhetoric she said, “Bradley Green.  You are under arrest for crimes…”
The rest of the catalog of rights and legal mumbo-jumbo were a mere formality as Brad stared blankly into Stacey’s cold, professional eyes as some of the muscle went behind him and slid shackles around his wrists.
That was the last time Brad saw Stacey before the trial, and the two hadn’t spoken until they met years later in the conference room at her law firm. The scars of betrayal were still fresh inside both Stacey and Brad, but life had once again shifted and offered both of them a second chance.
Brad stood up after squashing thoughts about restarting the mindless banter.  He quickly realized the Stacey in front of him was not the Stacey he last saw at her office the week before.  Gone was the look of contempt, which was replaced by another look that he hadn’t seen in some time.  Words would have sequestered the feelings inside both Stacey and Brad, so they let their actions unlock the passions they had buried inside.
The force of the connection was so strong that the building could have been crumbling down around their lips of fury and they wouldn’t have noticed it.  Sal and Charles peered out from the kitchen and were shocked to see the R-rated action already unfolding in front of them.
“Wow, that’s like soap opera steamy,” Sal said.
“Young and the Restless or Days of Our Lives?” Charles asked.
“Definitely Nikki and Victor on Y and R.  Definitely,” Sal said in his best Rainman impression.
Ten minutes later, Stacey and Brad detangled a bit and he said, “That was even better than our first kiss.”
“Our first kiss?” she replied.
He looked as puzzled as a dazed guy with wood pants could be, “You know, coming out of the bathroom.”
Stacey recovered enough from her pool of mush condition to reflect back on her days at Organic Nation.  It was a standard practice for her to follow Brad’s every move.  Whenever he moved within range or she was sitting in his office or at a meeting with him, she would scan and extract the contents of his cell phone on to her data capturing device.  On that particular day, she was surprised to see him using the general employees’ bathroom instead of using his own personal bathroom, so she jumped at the chance to download the data from his phone.  That phone never left his side, so it was relatively easy to get the information she needed.
Stacey tried to beat Brad out of the bathroom but got a face-full of him instead.  She had indeed remembered the kiss, their eyes meeting suggesting the inevitability of the fusion of lips.  From that point on the emotional tie from the kiss made her job that much more difficult.  She never talked about the event to a sole, and even skipped over its occurrence in her book.  Stacey’s personal life never conflicted with her professional life, at least not until Brad.
“Mr. Greenberg, are you suggesting that I have forgotten about the time you smacked into me coming out of the bathroom?”
Brad smiled, “No, Miss Berger, I am only suggesting…” and then a wave of understanding washed over Brad.  He cocked his head, “Why were you in such a hurry to beat me out of the bathroom that day?”  Stacey lost eye contact and that’s all Brad needed to know.  “You were doing some spy stuff weren’t you?”  He reached into his pocket and pulled out his cell phone, “You were after my cell phone.”
Stacey smiled, “Guilty as charged, but the kiss was definitely memorable,” she said as she cozied up to him.  “That kiss almost stopped me from prosecuting you.”
Brad smiled, “You are such a hopeless romantic.”

EXCHANGE CLUBS

Brad and Stacey kissed for a few more minutes and then went home together to Stacey’s condo, which was located only a few minutes away from the restaurant.  They woke up and showered together and had the following conversation over breakfast.
“So, how did the restaurant do on its first night?” Stacey asked.
“It was a good night, but I don’t think it will last,” Brad replied.
Stacey took a sip of her coffee and asked, “Why not?”
“Our concept is based solely on the proliferation of investment clubs.”
“You mean a group of people that invest together?  I read an article in Money magazine about that the other day.”
Brad explained, “The possibilities are endless.  We could support teacher, medical, high school, college, professional, housewife, senior citizen, and even legal investment clubs.”
Stacey smiled, “My firm is in.  What’s the minimum initial investment?”
“One hundred dollars,” Brad stated.
“Done,” she replied.
“You get a free appetizer with every club entry,” Brad said as he smirked.
“Is that for each club member, or just one for the entire club?”
Brad loved the fact that Stacey was so feisty. “That’s one per table.  We’d bump that up to two for a larger table.”  He reached over and kissed his new love and came to attention when thinking about their passionate love-making the previous night, which continued in the morning in the shower.  “Now that we have our first investment club, we have to go out and get more.”
“You know it better than I do that all you have to do is let them come to you.  Once word gets out, you’re going to have to beat people off with a stick to keep them away.”
“That’s when we’ll start moving into catering.  People will initially use The Exchange as a gathering place and then branch out into their own private groups.  The one thing I know about investors is that they are staunchly competitive and rarely like to expose ideas before their time,” Brad stated.
“Or until they go to a cocktail party and brag about the stock they own that tripled,” Stacey interjected.
“Exactly,” Brad said as he finished the rest of the granola in his bowl.
“I’ve been trying to eat healthier lately,” Stacey stated.
The recently released jailbird replied, “Me, too.”
Stacey did her best to get the word out about the investment clubs at The Exchange, and even sponsored a few local groups of clients and friends of clients.  One group at the Nassau County Court House was especially grateful to be able to flex their investment prowess.  The $100 minimum was quite reachable for most people, especially considering that a group could join for less money per person than it would take to sit down and watch a movie with your popcorn and frozen drink.
Investing is such a foreign topic to most people.  You have to quite skilled to achieve and maintain serious wealth, but any Tyrone, Domo, or Allison can dabble with plunking a few dollars down and playing the market.  Charles and Brad would often make the rounds in the restaurant and informally talk to groups about investing.  Complex terms like the “Efficient Market Theory” were replaced with the language of the common man.  Charles always stated that “markets are inherently inefficient” and that there were “opportunities to be uncovered” for every company.
For instance, Charles was sitting was the first investment club of housewives, which also included one stay-at-home dad, and the following conversation took place:
“Most Wall Street analysts are chained to a desk and rarely get out and see what is actually going on in the world.  There was this famous money manager named Peter Lynch who said that people should use what they already know to make money in the stock market.  So, what do we collectively know?”
There was a slight hesitation and then Kathy Reynolds, the smallest mother of the group, spoke up, “I know that The Gap has been marking down things like crazy and a few of the salespeople have told me that their sales have been extremely slow.”
The other five caretakers at the table perked up, “I heard the same thing at Ann Taylor,” Brenda Hollingsworth stated.
“Things seem to be going well at Target, though,” Carl Jenkins added.
Charles stood up and said, “You see.  You already have two potential shorts and one potential buy.”  The people at the table got all excited.  “Just stick to what you know and mix a little basic investing knowledge in and you’ll do just fine.  The most important thing with group investing is progress, not agreement.  If everyone has the same thought and your idea is not thoroughly thought out, then you will certainly miss important details.”
Brad and Charles had similar conversations with more and more groups as the weeks and months passed by, and it appeared that the investment club concept had indeed caught on.
“That new artificial heart has some bugs in it,” a member of the Nurses Investment Club chimed in.
Brad waited for the follow-up question in vain, “So, the obvious question would be, who makes the heart?”
The group thought it over and then Carol Simmons said, “I think it’s AbioCor?”
“Is that a public stock?” Grant Perkins chimed in.
Brad muttered under his breath, “My work here is done.”
Before long, there was a rainbow of investments clubs with everything from school crossing guard clubs to dentist and dental assistants clubs.  Of course, the pursuit started as purely a social endeavor but quickly became more like a group of animals fighting over a raw piece of meat.
All of this growth meant that the Sal, Brad, and Charles had to revamp the current menu.
“Finger food on small plates or napkins,” Brad said throwing out the first volley.
“Are we talking chicken fingers and mini pizzas or the kind of stuff you would find at a more upscale party?” Sal asked.
“Why not do both?” Charles interjected.
Brad nodded and said to Sal in a slightly different intonation, “Why not do both?”
Charles continued, “This way we can connect with all of the different people we have coming through here.  We could also have $200 bottles of wine and also have Budweiser on tap.”
