Janell Rhiannon
Uncross the Stars

Copyright @ 2014 by Janell Rhiannon
All rights reserved. No part of this publication may be reproduced or transmitted in any form or by any means, electronic or mechanical, including photocopying, recording, or any information storage device without permission in writing from the publisher or author. 
*
This book is a work of fiction. References to historical events and people, or real locales are used fictitiously. Other names, characters, places, and incidents are the product of the author’s imagination, and any resemblance to actual events or persons or locales, living or dead, is entirely coincidental. 
*
Kindle 1st Edition 
Cover Design by @ Regina Wamba of Mae I Design 
Edited by Melissa @ There For You Book Editing and Review 
*
You can follow the author at:
Janell Rhiannon @Facebook
Twitter @theravenangel
www.janellrhiannon.com

Acknowledgments
Whenever you sit and write for hours, days, months...you get sick of it. You get sick of your own story, of editing, of sitting...and you begin to doubt that you can finish the book. The saving grace for a writer is that precious handful of people who cheer you on any way they can. They let you ramble, vent, and send texts with sad faces. I’m sure that when I was at my wit’s end for the hundredth time, they wished I’d just finish the book. But, they let me continue the process and encouraged me along the way. So, to this little group who helped me push through Uncross the Stars, I give you my deepest gratitude. 
*
Jim, Nathan, Wesley, and Verni
And in a place of honor, for your assistance 
and a special brand of encouragement
Joy

Chapter 1
At midnight, Fiona and her mother finally pulled into the driveway of their new rental. Her mom cut the engine, but not the parking lights.
	“Looks like we made it, Fee.”
***
Meagan stood on the front porch of Dario’s house for several minutes before she finally got up enough nerve to ring the bell. Waiting for someone to answer the door gave the anxiety butterflies time to wing into over-drive. She heard footsteps approach the door. I hope it’s Dario. I don’t want to talk to his mom or dad. Oh, please let Dario answer the door. And on cue, the door opened with Dario’s frame filling the entryway. He stood there with half a sandwich in his hand.
	“Hi, Dario,” Meagan said.
	“Meg? What are you doing here?”
	“Can we talk?”
	“Sure. I guess. What’s up? You want to come in?” Dario asked.
	Meagan panicked a little. “No!”
	“Calm down. I can come outside.”
	“Sorry. I’m just upset and I didn’t know who to talk to except you.”
	“What’s this about? And how did you know where I live?”
	“Everyone knows where you live,” she lied. Ryan had given her directions.
	“That’s discomforting.”
	Meagan pulled out the T-shirt and handed it to Dario.
	“Where’d you get this? Did Fiona tell you to give it back to me? Figures after what—”
	“No. No, she didn’t.” Meagan squeezed out the water works for believability. She hung her head slightly looking up at Dario under her tear rimmed lashes. “I found it in the backseat of Ryan’s car.”
	Dario stood there staring at his T-shirt. “Why do you care where you found it? Why tell me?” 
	“I think Ryan’s cheating on me with Fiona.”
	“Ryan? What?” Dario snapped back to reality.
	“It’s hard to explain.”
	“I think you’d better try.”
	“We started talking a while ago.”
	“Talking?”
	“Okay. Hanging out, then.”
	Dario shook his head. “You know he’s never breaking up with Ellie.”
	“Yes, he is!” Meagan stomped her foot and clicked her tongue in annoyance at 	Dario’s easy dismissal of Ryan’s intentions to be with her. “You don’t know him like I do.”
	“It’s your dice. You know he’s been with Ellie since sixth grade, right?”
	It was Meagan’s turn to pause. Sixth grade? He never told me that. How do I not know this? Stay on point. Don’t get random! “Anyway. I think he’s cheating on me with Fiona.” He promised me. A splinter of doubt pricked her certainty. Dammit!
	“Why would you finding this in his backseat make you think Fiona’s with him?”
	“Because I know she had it in her room last night. And how would a girl’s shirt get in his backseat unless she left it there. Besides, she’s always pretending she hates him. And I think it’s just a cover.”
	“She was with him this morning?” Dario asked.
	“I guess.”
	Dario’s clenched his jaw. “Why should I care about any of this? She made it clear to me what she thinks about me. If she wants to be a part of Ryan’s girl drama, let her.”
	“You don’t understand. She’s only hanging out with Ryan, because she misses you.”
	“By sleeping with my friend, she’s only thinking of me?”
	“Wait a minute, cowboy. She told me everything.”
	“Everything about what?”
	“The cruel things you said about her dad. The ‘I love you’ part.”
	“I never told her I loved her.” 
	“Well, she thinks you did. Point is that if Ryan’s cheating on me with her, it’s not because she wants him, get it?”
	“No. I don’t. I don’t get it at all.”
	“Even after all that crap you gave her about her dad, you don’t get it? You really are lame in love, D.”
	“Enlighten me, Meg.” Dario said. 
	“Because she just wants to be loved, idiot. By anyone.” Meagan knew that much was true. She knew the pain of feeling not wanted first hand. If there was anything more hurtful to a girl than her father abandoning her, Meagan hadn’t discovered it yet. Her father’s lack of interest in her life crafted a huge void that she’d failed to fill until recently with Ryan’s attention. Ryan wanted her even when he shouldn’t want her. If she could just get him to love her, then she’d show her dad who the real asshole was.
	“Then, let her,” Dario said.
	That wasn’t the response Meagan needed, and she knew it. Dario required a shove in the right direction.
	“She loves you, Dario. Not Ryan.”
	Dario stared open mouthed at Meagan. He shook his head. “This is entirely twisted.”
	“I know. And you’re the only one who can fix it. You need to go to Fiona. Apologize. Tell her you love her.” Meagan snapped her fingers like a genie. “She’ll drop Ryan like that.” 
	He grabbed the T-shirt from her hands.
	Meagan pushed just a little more. “I think you’d better go now, before it’s too late.” Meagan pointed to the sandwich. “Hey, you gonna finish eating that?”
	Dario looked down at the half-eaten grilled cheese in his hand. He gave it to her. “Knock yourself out.” He turned and opened the front door, reaching just inside to get his backpack. He shoved the shirt into it. “I’ll talk to her. But, she might not like what I have to say.” He brushed passed Meagan, and took off down the street on foot.
	Meagan sent Ryan a text. 
	Meagan: he’s on his way.
	Meagan took a hearty bite out of the leftover lunch to ease the awful wave of nausea twisting through her. She sat down on the front step. Everything felt wrong. She closed her eyes, praying that it would all turn out the way it was supposed to. Please, let it all turn out the way it is supposed to.

Chapter 21
Fiona decided it was okay to stay in her pajamas snuggled in her warm bed after Meagan left this morning. She also decided that it was perfectly okay to mope about boys who didn’t know you existed, or worse, didn’t return your feelings on Saturdays. Fiona picked up her phone willing a text message form Dario to come through. Nothing like zero text messages and no Twitter notifications to make a girl her feel worse than she already did. Moving to Sierra Crest was supposed to be a new start for her mother and her. Lately, it felt like more of the same.
	Lost in her Twitter feed, re-tweeting and favoriting random tweets by total strangers, she almost didn’t hear the low rumble of a familiar muscle car. She tossed her phone on her bed and walked to her window. She peeked out the curtains, immediately recognizing the sliver-blue Chevy Nova. 
	She turned to face Mr. Lion-Bear on her bed. “What does he think he’s doing here?” She heard the doorbell ring. 
	Within moments, she heard her mom calling her. “Fiona! A friend of yours is here!”
	She sat on the bed next to Mr. Lion-Bear. She smoothed his mane. “He’s no friend of mine.” Then, she remembered she was in her pajamas. She rushed to the dirty clothes pile looking for something mostly clean to wear.
	Again, her mom called out, “Fee!”
	Fiona hollered back, “Coming!” She pulled on a pair of jeans and a sweat shirt. “I’ll be nice.” She promised her faithful stuffed animal. Then, she spotted the clean and neatly folded jersey on her dresser. “I forgot about that. This is probably what he’s after.” She walked to her dresser and picked it up.
	Ryan was already comfortably sitting on the couch, when Fiona walked into the living room. He turned towards her when she entered. He flashed her a brilliant smile. 	“Hey, Fiona.”
	His smile unnerved her. She hesitated for just a second. The smell of peanut butter cookies drifted into the living room.
	Ryan kept smiling. “Something wrong?” he asked.
	“No. Not really. Just surprised that’s all.”
	“I see you have my jersey.”
	She stepped forward and handed him the shirt. “I guessed that’s what you came for.” 
	He lifted it to his nose and inhaled. “Smells like…you.”
	“Weird, Ryan. Just weird,” Fiona said.
	“Thanks for washing it. You didn’t have to,” Ryan said.
	“No problem,” Fiona replied. “And yes I did. It was stinking up my room.”
	Fiona’s mom barged into the living room, with the timing only her mother possessed. She held the only offering that could grant forgiveness for such an embarrassing intrusion. A plate of fresh-out-of-the-oven peanut butter cookies. “I thought you and your friend might like a snack.”
	“Thanks, Mrs. Lavender,” Ryan said, as he reached for a cookie.
	“Go ahead, take two. And it’s not ‘Mrs’ it’s just Miss.”
	“Sorry, ma’am. Miss Lavender. Thank you.”
	Fiona rolled her eyes. There she goes again, just taking over my life. “Mom, please. We’re talking,” Fiona said impatiently.
	“Fine, honey. I’ll just leave the plate on the coffee table. Help yourself.”
	“I’m Ryan.” He smoothly transitioned his own introduction, when it was clear Fiona wasn’t going to extend the courtesy on his behalf.
	Her mom smiled. “Ryan. Help yourself, sweetie. I thought maybe you were going to be that Dario boy.”
	“Mom!”
	“No, ma’am. I’m just Ryan. Sorry to disappoint.”
	“What’s disappointing? An admirer of my baking is always welcomed.” Fiona’s mom gave Ryan a little wink and swept herself from the room, leaving them alone and as awkward as before.
	Ryan’s phone dinged an incoming text. He pulled his phone out and read:
	Meagan: he’s on his way
	Ryan smiled.
	Ryan: meet me at park
	He put his phone back in his pocket. “Football gear takes on a smell of its own. After a while, you just get used to it.”
	Fiona wrinkled her nose. “That’s hard to believe.” 
	“Anyway. I better get this back to Ellie before she thinks something that isn’t.”
	“Sure,” Fiona said. Then, feeling guilty for her earlier surliness, she added, “You were pretty good in the game. I heard we won.”
	“We did. Thanks.”
	“Okay. Well. I guess I can walk you out.”
	“Can I grab a few more cookies? Your mom is the bomb at baking.”
	Fiona couldn’t deny that fact. Her mom made then best cookies anywhere, hands down. “Sure.”
	They walked the short distance to the front door just as the doorbell rang.
	“More unexpected company?” Ryan asked.
	She looked through the side window and saw Dario standing there looking up at the porch light, examining it as if it needed repair while he waited for the door to open.
	“Oh, great,” Fiona mumbled.
	“What? Who is it?” Ryan asked. 
	“Dario.”
	Ryan inhaled through his front teeth. “Good luck with that.”
	“On that sour note.” Fiona opened the front door and stood face to face with Dario.
	Dario rushed his words. “Hey. Glad I caught you at home.”
	Fiona didn’t speak, but opened the door wider, revealing Ryan. Dario’s smile crashed to a thin line. 
	“Ryan was just leaving,” Fiona said.
	Ryan stepped around Fiona. As he passed Dario, he said, “Yeah. I was just leaving.” Whether it was on purpose or not, Fiona couldn’t tell, but Ryan tapped Dario’s shoulder with his shoulder as he went by.
	Dario’s nostrils flared. He backed up a step, letting his former friend pass by unharmed. 
	Ryan sauntered down the few steps of the porch, turned and said, “Thank your mom again for the cookies.” His broad smile horrified Fiona, and his timing couldn’t have been worse. 
	When Ryan was a safe distance away, Fiona finally asked the only relevant question, “What do you want, Dario?”
	“To Talk. Just to talk.”
	“I remember the last time we talked. That didn’t go so well.”
	“I need to know the truth.” 
	Fiona’s heart thudded wildly in her chest. Her legs shook so much she thought they might give out. “I don’t have anything to say to you,” Fiona said. 
	“Just tell me. Do you like Ryan? Are you into him? Or is Meagan right?”
	“I don’t know what you’re talking about. What did Meagan say?” A spark of anger surged through Fiona thinking that Meagan would betray her trust. “Whatever I told her was private.”
	“Is it true?”
	“About what?”
	“That you love me.”
	Fiona shook her head. “I told her not to say anything. After what you said…”
	“I’m sorry.” Dario’s eyes shone clear and true. 
	“What you said was cruel, Dario. Spiteful.”
	“I was in a bad place. I wasn’t handling myself well at all.”
	Fiona wanted to believe his sincerity. “At least you own up to it.”
Fiona looked down at their feet. “We’re still in the doorway,” she said.
	“I know,” he replied.
	“We can talk in my room, if you want.”
	“Okay. Sure.”
	Dario stepped into the house, just as Fiona’s mom re-entered the living room from the kitchen. Without looking up, she said, “How’d you like the cookies, Ryan?”
	Fiona gasped in embarrassment and turned around to scold her mother, but her mom had already caught her mistake. “Oh, I’m sorry. I thought you were the other young man.”
	“Mom, it’s Dario, remember? My Romeo?—I mean just Romeo from English class.” Fiona irritated herself.
	“Oooh,” Fiona’s mother said.
	“We’re going to my room. To talk,” Fiona said. 
	“Okay, sweetie. I’ll just be in the kitchen,” she said. “Baking. Cookies.”
	“Nice to see you again, Mrs. Lavender.”
	“Miss. It’s Miss Lavender.” She mumbled and turned around back to the kitchen. “You think people would get that I’m a Miss, not a Mrs.”
	Fiona grabbed Dario’s hand, leading him down the hall. Once in her room, she shut the door. Dario looked around. She’d rearranged it since he’d been there last. But some things remained the same, the white Christmas lights, the funny looking stuffed lion in a jean jacket, and the pile of clothes.
	“Do you love me, Fiona? I need the truth.”
	“That’s a big question.” She sat down on her bed. Her hands were shaking and she instinctively pulled Mr. Lion-Bear into her lap. “Yes. I think so.”
	Dario took the few paces across the room and knelt in front of her. He looked up into Fiona’s eyes and she felt her resolve to be angry with him soften as she gazed down into his big brown eyes. He put his hands on her knees and lifted his head up to kiss her. She leaned down to meet his lips with hers. As his lips brushed against her mouth, he asked, “Where’s my T-shirt?”
	Fiona pulled her head back from his, “What?”
	“My 30 Seconds to Mars T-shirt. Where is it?”
	“I don’t know. I’m surprised I didn’t burn it.” Fiona’s defenses rose against his words. She pulled back even more, but his fingertips dug into her knees.
	“Do you have it at least?”
	“Sure.”
	“I need to see it.”
	Fiona was confused by the inquisition. We were almost kissing, and then he asks about his shirt? “You’ll have to unhand my legs, if you expect me to look for it.” Dario released his grip on her legs. She got up and rummaged through the top drawer, then the next and the next. Nothing. “I know I had it here somewhere.” She turned to Dario. “Why are you so concerned about your shirt right now?”
	Dario spoke through clenched teeth. “Because I need to know the real truth.”
	Fiona shook her head. “Whatever that means.” She bent to look through the pile of clothes on the floor. “I don’t understand. It was here. I just saw it yesterday.”
	“Did you give it to someone? Or lose it maybe?” Dario asked. His voice simmered with rage. It was unrecognizable to Fiona. “Maybe you gave it to Ryan?”
	“Ryan? Why would he have it?” Fiona asked, confused.
	“That’s what I’d like to know.” Dario unzipped his backpack and pulled his shirt out as proof of some wrong doing on her part.
	She took a step back, shaking her head in disbelief. “How did you get that? Are you tricking me or something? Is this a sick joke?”
	“Don’t you mean, where?” Dario asked.
	“Okay. Where?”
	“Meagan,” he answered.
	“Meagan? Why would she have it?”
	“She said she got it from Ryan’s backseat.”
	“Backseat? Of like his car?”
***
	“Yes.” Dario stepped closer to Fiona. His broken heart, briefly resurrected by Fiona, burned in his chest. His love for her became a cold gray pile of ash. What had once warmed him and given him hope for the future had turned against him. He didn’t know if he could get it back. He grabbed her shoulders, pulling her close, and bent his head and kissed her roughly.
	Fiona pushed against his chest. “You’re scaring me.”
	“I thought I loved you. I didn’t want to. But, you were just so beautiful. So sweet. You made me believe you could love me back. That you didn’t care about my past,” he said. Unshed tears flashed in his eyes. “Why Ryan? Why my best friend?” He wanted to hate her. If he could, then this stabbing pain in his chest would disappear. Angry tears spilled over his bottom lashes.
	“I’ve never been in Ryan’s car. I promise. Never.” Fiona put her hands on both sides of his face. “Dario what’s wrong?”
	“Then, why?” He gripped her shoulders again. He wanted his suffocating pain to end. He pressed his thumbs into the hollow of Fiona’s neck. Fiona’s heart pounded erratically under his grip. Slowly, he brought his hands up around her neck. “Why?” he whispered. “Why?!” An audible clanging began inside his head. Colored lights obscured his vision. A raging ocean surged and roared in his ears. A strong metallic bitterness filled his mouth and gagged him.
	“Dario,” Fiona squeaked, as his fingers tightened. Tears ran down her cheeks, meeting their end at the white line of her lips and then her chin. “Dario, please.” Her voice was barely audible against the noise in Dario’s head.
	But Dario was already somewhere else. He was drowning in the past, back in his bed, under his Superman blanket, his mother reading to him and smiling down at him. Then, the raging and yelling and the begging, as it gave way to cracking bones and gurgling blood. Blood soaked the carpet. Blood soaked his mother. Blood soaked everything. Before he drowned completely in the memory, a voice surged through his head like an electric shock: “YOU ARE NOT HIM!”
	“What?” Dario screamed, trying to focus on the voice. He looked around, but saw only flickers of light. His hands tightened their grip around something soft.
	The voice commanded his attention, louder this time, shaking him completely to his core: “YOU ARE NOT HIM!”
	Dario’s hands flew from Fiona’s neck as if he’d been struck by lightening. He gasped and fell hard to his knees, as confused as the little boy he was years ago. He buried his face in his hands and sobbed. “I’m sorry. I’m sorry. I’m sorry.”
Fiona stood paralyzed with Dario weeping like a child at her feet. One moment he professed his love, the next he was someone she didn’t recognize with glazed over eyes trying to choke her. She placed a shaky hand on his heaving shoulders to comfort him. 	She knelt next to him.“It’s okay. It’s going to be okay,” she whispered.
	“No. No, it won’t. I’m just like my father. I’m just like him.”
	“You’re not just like him.”
	“I’m going crazy, I think. I can’t stand that you chose Ryan over me. Holy shit, what’s wrong with me?” Shamed and confused, he turned his face away from Fiona’s searching eyes. “What kind of monster tries to hurt someone he loves?” he whispered. Dario knew that he’d come as close to his father as he’d ever been, and it frightened him. He never wanted to go back to that dark hole in his life. 
	Fiona put an arm around Dario’s shoulders. “I didn’t choose Ryan over you. I can’t stand him. He’s the biggest jackass that ever lived. I only talk to him—try to be nice to him, because he’s your best friend. Or was.”
	Dario dared to glance at her, his face blotchy with angry tears. “What?”
	“I don’t know why you think I want Ryan. But, this—” She put her hands on his shoulders and looked him squarely in the face, “What just happened now, is something bigger than being jealous, or mad.”
	“Sometimes, I feel so angry inside and it just explodes. I don’t really talk about it. Usually, football takes care of it. I’ve avoided all this going out stuff, because I was afraid I couldn’t keep the ugly locked down. I was right…”
	“Look, Dario. When you told me about your dad, I knew it was big. I didn’t know what to say and I was afraid if I said the wrong thing, you’d just cut me off. You have to talk to somebody about it. A professional, you know, someone who can talk you through it. Help you make sense of it. Help you deal with your feelings.”
	“I don’t know. I’m not sure I can,” Dario said.
	Fiona kissed his cheek. “I don’t think you can afford not to.” 
	Fiona’s mom burst into the room. “Everything all right in here?!” She saw them both kneeling on the floor with her daughter’s hands gripping Dario’s shoulders. “What’s going on in here?” she demanded.
	Fiona looked up. “Nothing, Mom.”  
	“What happened? Why does your neck look like someone was choking you?” She realized instantly Dario had tried to hurt her daughter. “Why you sick, twisted little—” she reached for the nearest weapon she could find: a hair brush. She picked it up and launched herself full force at Dario.
	Fiona screamed, “No! Mom!” She tried to put herself between her furious mother and Dario. They all tumbled in a heap on the floor with Fiona’s mother taking swipes at Dario with the prickly brush.
	“Mom! Stop! You’re hitting me!” Fiona yelled. “Stop it! Mom! I’m okay!”
	“I’ll beat him within an inch of his miserable life!” As she lifted her arm to begin a new onslaught of hitting, Dario rolled away, and Fiona reached for her mother’s wrists. 	They tussled until Fiona rolled on top of her mother, pinning her wrists next to her ears.
	“Kalliope Lavender! Let go of the brush. I’m okay. Do you hear me? I’m okay.”
	Her mom stopped struggling and stared at Fiona. “Are you sure you’re all right, Fiona? I’ll kick his ass if he hurt you.”
	“Really, Mom. I’m fine. Are you going to keep hitting?”
	“Of course not. Get off of me would you?”
	Fiona released her mother’s arms and stood up straightening her clothes.
	Her mom chuckled nervously. “I can’t believe this. I hear him yelling. I run in here all panicked. You have red marks all over your neck. He’s crying. Holy Jesus, someone better start explaining from the beginning.”
	An electronic beeping sounded from down the hallway. “Mom, what’s that noise?” Fiona asked.
	“What’s that smell?” Dario asked.
	Fiona’s mother listened for a fast second. “Oh no!” she exclaimed. Her eyes rounded in horror, and she bolted from the room. From down the hall, they heard her screaming bloody murder.

Chapter 22
	Ryan stared at Meagan. “What’s wrong now?”
	“I feel bad about what I told Dario. I mean, I told him about us, but I felt bad lying about you and Fiona.”
	“Don’t. You had to, right?”
	“I don’t know. Did I?”
	“Why’d you really do it? To help Fiona and Dario, or because you love me?”
	“When you put it that way. Because, I love you.”
	“You want us to be together, more than anything, right?”
	Meagan flushed at his confident assertion of her wants and desires. Not so much because he knew they existed, but because he knew them so intimately and understood her desire for love was her kryptonite. “Yes. I guess so.”
	“I know so.” Ryan tucked a stray lock of her hair behind her ear. “Admit it. I’m the first to race these curves of yours.”
	Meagan lowered her eyes to her hands. She wanted to say something, but was afraid she’d say the wrong thing. She remembered what he’d said about virgins.
	“It’s all right. I know I was. I could tell.”
	Tears stung Meagan’s eyes. A fat drop spilled with a blink, landing in a delicate splat on her hands folded in her lap. She smoothed it away with her thumb.
	“Don’t cry, Meg. You earned everything you wanted. My trust and my promise. After I win the Liberty game, I’ll be all yours.”
	Meagan looked up, hopeful. “What about waiting? I thought you were worried about Ellie. I’m fine if—” A fire truck with sirens screaming raced by, blowing passed the parked Chevy so fast, the car swayed with its inertia. Before she could begin again, an ambulance quickly followed with sirens blaring.
	Ryan smiled. “I wonder where they’re rushing off to?”
	“Why are you smiling? Fire trucks and ambulances are never good news.” A wave of nausea forced her to close her eyes.
	“What’s wrong now, Meg?” His question trapped her inside her feelings of unworthiness. “Meg, didn’t you hear me? You’re getting exactly what you wanted. Me.” 	She glanced up. His smile unnerved rather than comforted her. Meagan could barely look into his eyes. “I…I’m not sure I want this anymore.”
	Ryan reminded her of what she needed. “Yes. Yes, you do want me. Look what you’ve done for me.”
	Queasiness gripped her stomach again. She swallowed the sour bile rising in her throat. “What do you mean? What I’ve done for you?” Meagan asked. 
	“You’ve helped me win,” he said simply.
	“Win what?”
	“The game, Meg. The ultimate game.”
	“The Liberty Bell isn’t for another week. And what do I have to do with football?”
	“Not football. I’m talking about the game of life. And you’ve helped me every step of the way. No questions asked like a good girl. You did whatever I asked, trying to prove to me you were worth loving.”
	Meagan shook her head. “I don’t understand.”
	“The game against Dario. Clear now?”
	“What do you mean against Dario? I borrowed money from him. And got his T-shirt.” 
	Ryan slid his hand into the waistband of her jeans, pulling her closer. “You wanted me so bad, you willingly betrayed your friend. Now, that says a lot about you to me. It’s good to know how far you’ll go for us.”
	“Explain it Ryan, please.”
	“I think you already know what you’ve done. To Dario. To Fiona.”
	“What I’ve done?” Meagan choked.
	“You borrowed the money from Dario. And you got Fiona to put it in his bag. Everyone was so busy talking about Fiona, no one noticed when I slipped the steroids in his bag.”
	“Oh my god.” Meagan gagged. Her eyes focused on the ugly truth spilling from Ryan’s mouth. Even as he spoke, she realized her part in his plan was contrived from the beginning. He’d used her and she’d let him, all because she needed him. Maybe not him exactly, but anyone like him: hot, someone everyone else wanted. She thought that if she could steal him from Ellie, then she would prove she was worth something to herself. She needed him to love her the way she loved him, with desperation and self-sacrifice, or she would be the worthless little girl her father ignored. 
	“And when that bastard got out of juvie and came back, I knew I had to push plan B. Get him to do something stupid. Something violent, so they’d send him back to jail. You helped me time it out to perfection. Dario was getting there, just as I was leaving Fiona’s house. You should have seen his face. He was furious.”
	“I thought you said you wanted him and Fiona to get back together?”
	Ryan’s honeyed words slid off his tongue and stung like bees. “I told you what you wanted to hear. Don’t worry. It’s cool, Meg.” 
	“You tried to make him mad? So he’d want to fight you?”
	“Well, me or…” Ryan let the ‘or’ hang there long enough for Meagan to fill in the gap. 	
	The possibilities crystallized in Meagan’s mind. “Fiona? You wanted him to hurt Fiona?! Why? Why would you do that? He’s your best friend.”
	“My best friend?” Ryan laughed. “He deserves everything coming at him. Acting the arrogant jerk all the time, like he’s better than me. Better than everyone else. I hate him. I hate everything about him.”
	The truth burned. “And you smiled because you thought the ambulance was going to Fiona’s house?!”
	“That’s about the size of it.” Ryan smiled again.
	“I’ve got to get out of here. I’ve got to tell Fiona and Dario.” She reached for the door handle, but Ryan grabbed her hand with an iron grip. “Let go! Let go of me!” she yelled.
	“Not so fast, Meg. You’re not telling anyone anything.” With her free hand, Meagan swung at Ryan’s head. His grip tightened on the hand he held fast, as he grabbed for the flailing arm. He caught it with a stinging grip, bending her arm behind her head.
	“Ouch! You’re hurting me! Let go!” Meagan screamed. “Let! Me! Go!” Meagan brought her knee up and jammed Ryan as hard as she could in the groin. The pain shot straight up behind his belly button. He bent with the after shock of the blow and eased his grip on her arms. Meagan began kicking wildly, managing to wrench one hand free to lift the door handle. She pulled up and the door flung open and she slid part way out of the car with Ryan still on top of her.
	“You’re not going anywhere slag,” Ryan snarled.
	Meagan slapped and kicked at everything. Her foot found his groin again. This time, when he bent in agony, she was able to slide all the way out from under him. The pebbly asphalt scrapped the skin on her elbows, but she didn’t care. Panicked, she scrambled to her feet and started running as fast as she could. Her heart beat frantically in her ears. Behind her she heard Ryan rev his car’s engine. The loud rumble spurred a spike of adrenaline driving her legs to pound the ground faster than she’d ever run before. Her heart hammered. Her lungs burned. Her legs tired, but she kept running. Green and blue and pink blurred around her, she didn’t stop. She cut through yards, jumped over trashcans and bushes. She ran all the way to Fiona’s street.
***
Meagan froze in her tracks as she rounded the corner onto Ibis Avenue. Her heart dropped to her feet. Emergency vehicles blocked the street in front of Fiona’s house. I’m too late! Too late! The foot of a gurney emerged through the front door of Fiona’s house flanked by three sturdy firemen and followed by two E.M.T.s. A body was tightly wrapped in a yellow blanket. All Meagan could see from her rooted position on the street corner was dark hair. Her heart hurt. If it turned out to be Fiona, it was all her fault. No one would ever forgive her. She would never forgive herself. Even as she blamed herself, she plucked up the courage to run the block between her and the answers she needed.
	“HEY!” Meagan shouted and waved her arms to catch the emergency workers’ attention. The gurney jerked to a stop as all five heads turned to face her. The patient turned her face toward the hoopla.
	Meagan called out, “Mrs. Lavender!” She ran all the way to Fiona’s mom. Relief flooded her entire body, when she realized that it wasn’t Fiona. “Oh. My. Gosh! Are you okay? What happened? I was walking down the street. I saw the lights flashing and—”
	“It’s okay Meagan. I’m okay.” 
	Meagan reached for Fiona’s mom’s arm. “What happened?” 
	A hunky fireman said, “Kitchen fire ma’am.” He smiled down at Meagan. “She’ll be fine.”
	“I forgot I was boiling eggs. I burnt the pan and nearly half the kitchen down.”
	“Mostly smoke damage by the looks of it. You’ll have the kitchen to reignite soon enough, Miss Lavender,” said a different fireman. “But, you’ll have to replace that oven.” 	The dreamy crew pushed the gurney to the edge of the ambulance and pushed it forward so the legs folded under the bed, sliding neatly into the fully-equipped mini-hospital in the back of the ambulance. 
	Meagan was impressed with Fiona’s mom and spoke over the wall of navy blue uniformed shoulders partially blocking her view. “Only you could burn down your house and get gorgeous men to flirt with you at the same time.”
	“Oh, Meagan. Not so. Not so.”
	“Take it easy, Miss. Lavender.” The E.M.T smiled, as he hooked up beeping electronic machines to monitor his patient’s heart. “Lay back and relax. We’ll be there in no time.”
	“Thank you. But, I’m fine. Really.” She looked around her rescuer’s broad shoulder. “Where’s my daughter? Is she okay?”
	“She’s fine, Mom,” said a familiar voice behind Meagan, who turned and seeing Fiona, hugged her with the strength of Sampson. “I can’t breathe, Meg.” Fiona’s voice pinched. “Meg. I. Mean. It. Can’t breathe. Let. Go.”
	Meagan reluctantly released Fiona. “Sorry. I was so worried. Oh God! I’m so glad you’re all in one piece.”
	“Hey, Mom? We’ll follow you, okay?” Fiona focused on her mom, as Meagan clung to her arm.
	Fiona’s mom nodded her head and gave the thumbs up.
	A sooty faced firefighter stepped in front of Fiona. “Excuse me, Miss.”
	“Sure. Sorry.” She stepped back and waved to her mom as the firemen closed the polished white ambulance doors and knocked twice, signaling the driver that the vehicle was ready to transport. Meagan and Fiona covered their ears with their hands when the sirens warbled to a full scream. When the ambulance pulled away, Meagan saw Dario standing on the porch with his hands in his pocket. Guilt and relief flooded her as she stood.
	Fiona noticed Meagan’s open hanging mouth and followed her line of sight landing squarely on Dario. “It’s a little strange I guess. How it all worked out,” Fiona said.
	Meagan shook her head. “You really have no idea, do you?”
	“No idea about what?”
	Meagan absentmindedly rubbed her left forearm. “Everything.”
	Fiona looked at Meagan’s arm as she massaged the red welts, and saw the dried bloody scrapes on her elbows. She gingerly touched Meagan’s arm. “What happened to you?”
	“I’m fine. It’s nothing.” Meagan needed to unburden herself of the truth. What she had helped Ryan accomplish was unforgivable. “You have to know I’m sorry. So sorry.”
	“For what?”
	“The truth. I swear I didn’t realize what Ryan was up to. I thought it was some sort of guy prank.”
	Dario walked up behind Fiona, wrapping his arms around her shoulders. Fiona’s hands came to rest easily on his hands. “You thought what was a prank?”
	Tears welled in Meagan’s eyes as she saw the genuine affection between them. The affection she had been so desperately trying to get from Ryan. “What happened to you? Both of you.”
	“Is this a long story, Meg?” Fiona’s smile faded with worry. “There is the matter of meeting my mom at the hospital.”
	“I can tell you while we’re driving, if,” and she sighed, “if you promise not to throw me out on the way.”
	Fiona eyed her friend carefully, and then squeezed Dario’s fingers threaded through her own. “What do you think, Dario?”
	His smile lit up his entire face. “Whatever it is, Meagan, we’ll wait until the car is fully stopped before we throw you out.” 
	Meagan sensed that something had shifted between Fiona and Dario. She narrowed her eyes at them trying to squeeze the truth out of them. “Wait. What’s going on between you two? Something’s missing. Or added. Not sure which.” 
	“Can we please get in the car?” Fiona begged. “We can exchange stories while we’re driving.”
***
In the car, Meagan stopped and started, before the entire ugly truth tumbled out in the open. Detail by detail. The money. The steroids. All of it. She narrated how measure by measure Ryan orchestrated his symphony of deceit to play out to its glorious end.
“Only, he’s gonna be majorly disappointed that his big plans backfired.” Meagan exhaled. “I’m glad the truth is out. I realize I’ve hurt you both, but I promise that I didn’t mean to. I wouldn’t blame you if you guys never spoke to me again.” 
